Awarding Department,Scholarship Intent,Criteria,Major,Class Level,Enrollment Status,Enrollment Requirement,Financial Need as determined by the FAFSA and/or CA Dream App,Citizenship,GPA,Contact Person,Campus Address,Street Address,Phone Number,Email,Web page,Number of Awards,Award,Scopes,Deadline,Supplemental Questions
" Hospitality, Tourism, and Event Management"," To provide and support Hospitality Tourism and Management students,",, Hospitality & Tourism Management, HS Seniors; N/A; Undergrad:  Second and Third Year students; Grad:  N/A, Continuing SF State students, Undergrad:  12 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad Cumulative or SF State GPA:  3.25; Grad GPA:  N/A, Jeff Chun, HUM 490," 1600 Holloway Ave., San Francisco, California 94132", (415)-338-2660, jeffchun@sfsu.edu, https: //english.sfsu.edu/content/scholarships, 6,"2,000",Modern Languages and Literatures,10/18/2024,Please 1 letter of recommendation from an English Dept. faculty member. Detailed contact information of the recommender should be provided.
 English Department," To award a scholarship in memory of Emeritus Professor Stephen Arkin to undergraduate students who are deeply engaged in literary study and aspire to contribute to the public good, and wish to use their SFSU education to further those goals. Students must be enrolled in one of the four undergraduate major concentrations offered by the English Dept.","
1. One letter of recommendation from an English Dept. faculty member. Detailed contact information of the recommender should be provided.
2. A copy of your SFSU unofficial transcript.
3. Personal Statement:  Please respond to the following prompts in 500 words or less: 
a) What specific barriers have you overcome to achieve academic success, and how do you plan to use your SFSU education to contribute to the collective “public good”?
b) What work beyond the classroom connected to your English major have you engaged in as an undergraduate student at SFSU (e.g. teaching, tutoring, community service learning, mentorship experiences, undergraduate research showcases, conferences, student publications, digital humanities projects, archival research, online writing of any kind, community or online performances)?
c) How has your life experience influenced your contributions to the classroom, the English department, and/or the campus community here at SFSU?"," Multiple:  English Literature-BA, English Education-BA, English Linguistics-BA and Professional Writing and Rhetoric-BA", HS Seniors:  N/A; Undergrad:  Juniors and Seniors ; Grad:  N/A, Continuing SF State Students, Undergrad:  12 UNITS required Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  2.5 GPA; Grad GPA:  N/A, Cynthia Losinsky- English Department, HUM 460," 1600 Holloway, San Francisco, California 94132", (415) 338-1106, engdept@sfsu.edu, http: //mll.sfsu.edu/," varies
Amount of Awards:  * varies
Award Term: * varies","$3,000.00",School of Design,11/01/2024,Are you a US Citizen or a Permanent Resident?
 Modern Languages and Literatures, To provide scholarship support for undergraduate students majoring in German.,"
1) Undergraduate students must have completed at least 3 upper division in German with a minimum GPA of 2.8 in German
2) Must submit a 200-word statement outlining contributions to the German Program, the campus and/or the community.", Multiple:  German, Undergrad:  Freshman/Sophomore/Junior/Senior; Grad:  Masters/2nd BA, Continuing, Undergrad:  12 UNITS, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad SF State GPA:  2.8, Dr. Ilona Vandergriff, FA 121," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-2211, vdgriff@sfsu.edu, N/A, varies,"1,000.00",College of Business,10/19/2020,"Upload a 7-Page Portfolio - Please upload a 7 page portfolio showing 3 ID projects (2 pages per project, one showing process and one showing final outcome) plus 1 cover page. The cover page will include the student’s name, email, address and phone number. PDF upload only. Naming protocol is LastName_FI.pdf (ex: Linder_M.pdf)."
 School of Design, To support deserving BSID students in need of financial support in their senior year in the School of Design at San Francisco State University. Students entering their senior year apply with a portfolio and evidence of need.,"
1) Students who meet the AB540 definition are eligible to apply.
4) Students submit a letter of recommendation from one member of the faculty of the School of Design.", Single:  BSID, HS Seniors:  N/A; Undergrad:  Senior; Grad:  N/A, Continuing, Undergrad:  3 units; Grad:  N/A, Yes, US Citizen/Perm Res, HS GPA:  N/A; Undergrad SF State GPA:  3.0; Grad GPA:  N/A, School of Design, HH 807B," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-1228, design@sfsu.edu, https: //engineering.sfsu.edu/engineering-scholarship, varies,varies,Engineering,04/24/2024,"In 750 words or less, please discuss the following items: personal and financial hardships you experienced growing up, current financial need, and how this scholarship will help you."
 Lam Family College of Business, To provide financial assistance to a Lam Family College of Business student who demonstrates financial need.," Provide a letter stating professional goals and educational objective, including how public works affects everyday life. Student membership (at least during scholarship year) with APWA."," Multiple:  All majors in Lam Family College of Business,"," Undergrad:  Any, Grad:  2nd BA/Masters", Continuing, Undergrad:  HALF-TIME; Grad:  HALF-TIME, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Jeff Chun, MH 404," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338-1471, jeffchun@sfsu.edu, https: //lca.sfsu.edu/scholarships, 1,"$2,000",College of Liberal & Creative Arts,03/31/2024,Do you have a minimum overall GPA of 3.0?
 Engineering, The American Public Works Association (APWA) has established an endowed fund to support SF State Engineering students who are interested in pursuing a career in public works.," Be pursuing a major in, and/or pursuing a teaching credential in any of the disciplines in Creative Arts."," Civil Engineering, Mechanical Engineering, Electrical Engineering, Computer Engineering"," HS Seniors:  N/A; Undergrad:  Junior, Senior; Grad:  N/A", Continuing/currently enrolled SF State student, Undergrad:  FULL-TIME; Grad:  N/A, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, School of Engineering, HUM 573," 1600 Holloway, San Francisco, California 94132", (415) 338-1891, engrasst@sfsu.edu, https: //sfsu.academicworks.com/admin/opportunities/13735, varies,"$1,000.00",Family Interiors Nutrition & Apparel,04/05/2024,"Please upload your SFSU unofficial transcript in PDF form here. If you are an entering student, upload an unofficial transcript from the institution you attended most recently."
 College of Liberal & Creative Arts, To encourage academic excellence for all students in any of the Creative Arts disciplines by defraying educational expenses.,"
1) Applicants are all those Creative Writing students who have submitted a manuscript of their work of short fiction to the Creative Writing Department.
2) Applicants/recipients must be enrolled in the semester in which the award is disbursed (Spring semester)."," Multiple:  Art, Broadcast and Electronic Communication Arts, Cinema, School of Design, Music, Theatre Arts/Drama and Dance", Undergrad:  Any; Grad:  Any, Any, Undergrad:  FULL-TIME; Grad:  FULL-TIME, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, Arsham Pourfallah, BH 329," 1600 Holloway, San Francisco, California 94132", (415) 338-2060, lcastudentservices@sfsu.edu, http: //cfsd.sfsu.edu/scholarships, 1,$500.00,Graduate College of Education,03/27/2024,"Please upload at least 50 pages, typed, double-spaced, of your novel or novel-in-progress. (as a .pdf. or .doc)"
 Creative Writing," This is a yearly contest, with a monetary prize given for the best original written work of a novel or novel-in-progress, written by a Creative Writing student, either B.A. or M.A. or M.F.A.", Self-reported financial need. Community Service., Creative Writing, Undergrad:  Any; Grad:  2nd BA/Masters/MFA, Any, Undergrad:  1 UNIT; Grad:  1 UNIT, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Creative Writing Department, BH 502B," 1600 Holloway Ave., San Francisco, California 94132", (415)-338-1031, cwriting@sfsu.edu, https: //gcoe.sfsu.edu/current-students/scholarships, 1,$100,Mathematics,10/28/2024,Identify the internship to which you were accepted.
 Consumer and Family Studies/Dietetics, Support dietetic student who was accepted into a dietetic internship.,"
1. Students must be pursuing an MA,PhD or Credential in Early Childhood Special Education.
2. Special Education Majors Only.
3. No minimum GPA requirement.", Single:  Dietetics, Undergrad:  Graduating Senior/2nd BA; Grad:  N/A, Continuing, Undergrad/2nd BA:  HALF-TIME; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, Nancy Rabolt, TH 937," 1600 Holloway, San Francisco, California 94132", (415) 338-2251, nrabolt@sfsu.edu, http: //math.sfsu.edu/scholarships.php, varies,$600,"College of Ethnic Studies, Asian American Studies",04/18/2016,"Essay 1: Where have you been? Describe your previous community service and impact, relevant work experience, or other life experiences that qualify you for a GCOE scholarship. (approx. 200 words; 6 points possible)"
Graduate College of Education Department," To support students pursuing a Masters Degree, and/or doctoral degree in Special Education with a focus
in Early Childhood Education and candidates pursuing a credential in Early Childhood Special Education.","
1) Candidates are current or entering students who are majoring in one of the degree programs in the Mathematics Department.
2) Success and potential for future success in mathematics.
3) Preference given to students who are economically and educationally disadvantaged.", Single (Special Education)," HS Seniors:  N/A; Undergrad:  N/A; Grad:  MA,MFA, Credential and PHD.", Continuing and Entering Students can apply., Undergrad:  N/A UNITS; Grad:  3 units, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA: N/A, Ty Robinson, EP 103," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-2698, tyrob11@sfsu.edu, https: //aas.sfsu.edu/content/paul-whang-memorial-fellowship, varies,Varies,Engineering,11/10/2024,"In a 200 word essay, what are your plans and/or what has been your experience interning/volunteering with an organization serving low-income Asian American youth?"
 Mathematics, To encourage mathematics careers among students who are economically and educationally disadvantaged.,"
1) Undergraduate student majoring or minoring in Asian American Studies.
2) Graduate student in the M.A. program in Asian American Studies.
3) Must have completed or commit to a 60 hour internship working with the low-income Asian American communities
4) Graduating seniors must be enrolled in at least 6 units."," Multiple:  BA in Math with concentration in Advanced Study, in Teaching, in Liberal Studies; BS in Applied Mathematics; BS in Statistics; MA in Mathematics, MS in Statistical Data Science", Undergrad:  Any; Grad:  Masters, Any, Undergrad:  6 UNITS; Grad:  4 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Department of Mathematics, HH807B," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338-1228, statmath@math.sfsu.edu, http: //engineering.sfsu.edu/current_students/financial_and_careers/scholarships_and_fellowships/index.html, varies,"$1,000",History,04/05/2024,"Please detail your qualifications for this scholarship, including instances where you have exhibited significant leadership and service to the School of Engineering."
 Asian American Studies," In honor of Paul Whang’s dedication to helping youth, the Paul Whang Memorial Fellowship Endowment shall encourage and provide support to college students interested in working with low-income youth in Asian American communities.", Demonstrated exceptional leadership abilities in and/or out of the classroom., Asian American Studies, HS Seniors: N/A; Undergrad:  Any; Grad:  2nd BA/Masters," New Admit, Entering, and/or Continuing", Undergrad:  3 or 6 UNITS; Grad:  3 or 4 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Wesley Ueunten, HUM209," 1600 Holloway, San Francisco, California 94132", (415) 338-1804,wesueu@sfsu.edu, http: //history.sfsu.edu/content/scholarships, 1,Varies,School of Theatre and Dance,04/10/2024,Write a 500 word personal statement (include name) in response to the following questions: Why do you feel you deserve this award? What is your experience? What distinguishes your work? What are the qualities that you bring to this area of study? What are your career goals?
 Engineering, To provide financial support to students in Engineering., Candidates are nominated and auto-matched through Academic Works. Pool is generated by the graduate coordinators from each semester’s MA History applicants (we accept both Fall and Spring applications)., Single:  Engineering," Undergrad:  Upper Division(Junior/Senior), Grad:  N/A", Continuing, Undergrad:  FULL-TIME; Grad:  N/A, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  2.5; Grad GPA:  N/A, School of Engineering, CA 103," 1600 Holloway, San Francisco, California 94132", (415) 338-1341, engrasst@sfsu.edu, http: //theatredance.sfsu.edu/, varies,"$1,000.00",College of Business,04/12/2024,"Please describe any special personal or family circumstances affecting your need for financial assistance. How will this scholarship help you achieve your educational and career goals? Please upload a copy of your latest transcripts. Unofficial transcripts are acceptable. Depending on your grade level, these can be from high school, community college, 4-year college/university, or graduate school. Upload a copy of your resume. In addition to your employment and volunteer history, please also include any awards/distinctions you have earned if applicable."
 History, To give financial support to promising history graduate students during their first year of the MA program., N/A, Single:  History, Undergrad:  N/A; Grad:  Masters, Any, Undergrad:  N/A; Grad:  4 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, History Department, HUM 573," 1600 Holloway, San Francisco, California 94132", (415) 338-1891, history@sfsu.edu, https: //creativewriting.sfsu.edu/department-resources, varies,varies,"College of Business, Labor Studies",08/22/2024,"Please upload your current SFSU or other institutions academic transcript. Unofficial transcripts are acceptable. Submit a copy of your resume Within 250 words, please describe your activities related to the Labor Studies major and your plans after graduation."
 School of Theatre & Dance, Provides merit scholarships for Theatre Arts students of promise in Musical Theatre., Selected by Creative Writing MFA faculty from amongst the most highly talented writers in the current admittees.," Single:  Theatre Arts, Drama"," Undergrad:  Sophomore, Junior, Senior; Grad:  Masters, MFA", Continuing, Undergrad:  HALF-TIME; Grad:  HALF-TIME, Not a requirement, Any, HS GPA:  N/A; SF State Undergrad GPA:  3.0; SF State Grad GPA:  3.0," School of Theatre and Dance, Victoria Giari", HUM 573," 1600 Holloway, San Francisco, California 94132", (415) 338-1891, vgiari@sfsu.edu, https: //creativewriting.sfsu.edu/department-resources, varies,"1,000",Africana Studies,04/29/2024,Supplemental Questions Discuss a community engagement activity that you have done or plan to do in the interest of Africana communities? How do you envision applying the knowledge that you gain in Africana Studies to promote social justice?
 Creative Writing, Graduate program recruitment scholarship to recognize achievement in poetry and provide scholarships for poetry students in the MA/MFA program., Selected by Creative Writing MFA faculty from amongst the most highly talented writers in the current admittees., Single:  Creative Writing, Undergrad:  N/A; Grad:  Masters/MFA, Entering, Undergrad:  N/A; Grad:  3 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Creative Writing Department, HUM 573," 1600 Holloway, San Francisco, California 94132", (415) 338-1891, cwriting@sfsu.edu, https: //creativewriting.sfsu.edu/department-resources, varies,varies,Office of Student Financial Aid,,Describe how you have been involved in an Asian American community.
 Creative Writing, Graduate program recruitment scholarship to recognize achievement in poetry and provide scholarships for poetry students in the MA/MFA program., All applicants accepted into the Creative Writing MA or MFA program., Single:  Creative Writing, Undergrad:  N/A; Grad:  Masters/MFA, Entering, Undergrad:  N/A; Grad:  3 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Creative Writing Department, EP 107," 1600 Holloway, San Francisco, California 94132-4011", (415) 338-2352, cwriting@sfsu.edu," <https: //africana.sfsu.edu"">Africana Studies", varies,varies,Asian American Studies,,"Please upload a copy of your latest transcripts. Unofficial transcripts are acceptable. Depending on your grade level, these can be from high school, community college, 4-year college/university, or graduate school. Upload a copy of your resume. In addition to your employment history, please also include any academic awards/distinctions you have earned. In the text box below, please indicate how many hours a week you currently work. If you work multiple jobs, please add up the total number of hours. In 500 words or less, please discuss your current financial need and how this scholarship will help you."
 Creative Writing," A recruitment scholarship for two MA/MFA applicants to support their first year of study in our program. All applicants accepted into our MA or MFA program will be eligible. Recipients for the award will be selected in Spring by TT faculty application readers, based on the promise of the applicant’s writing sample submitted as part of their application. The writing sample will show the applicant’s willingness to explore with the craft of their genre complex human experience. Writing sample may also show writers willingness to take risks and innovate within their genre.", Full-time students who demonstrate financial need and have a GPA of 3.0 or higher., Single:  Creative Writing, Undergrad:  N/A; Grad:  Masters/MFA, Entering, Undergrad:  N/A; Grad:  3 units, Not a requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, Creative Writing Department, One Stop -SSB," 1600 Holloway, San Francisco, California 941324011", (415) 338-7000, cwriting@sfsu.edu, http: //financialaid.sfsu.edu/scholarships, varies,varies,College of Business,03/30/2023,"Essay 1: Where have you been? Describe your previous community service and impact, relevant work experience, or other life experiences that qualify you for a GCOE scholarship. (approx. 200 words; 6 points possible) Essay 2: Where do you want to go? Describe your educational and career goals, why these are important to the communities that you are going to serve, and how a scholarship could help you meet these goals. (approx. 200 words; 6 points possible) Essay 3: What do you need? Describe your working situation or other financial circumstances that increase your need for assistance. (approx. 200 words; 6 points possible) Essay 4: How are you a good match for this specific scholarship? Describe how the intent of this award will help you to achieve your educational and career goals. (100 words; 3 possible points"
 Accounting, The establishment of this scholarship is to honor Daniel Martinelli and his family members who have attended SF State. The family wishes to provide scholarships to students who demonstrate financial need with a preference given to students majoring in accounting., N/A, Multiple:  Any," Undergrad:  Upper Division(Junior/Senior/Graduating Senior), Grad:  Masters", Continuing, Undergrad:  FULL-TIME; Grad:  FULL-TIME, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, Jeff Chun, EP107B," 1600 Holloway, San Francisco, California 94132-4011", (415) 338-2373, jeffchun@sfsu.edu, Department of Asian American Studies, varies,"$1,000.00",Music,11/08/2023,"In at least 500 words, please explain your plan for pursuing research, development, or implementation of practices of embodied teaching in regards to sex. Please submit the name and e-mail address of a faculty member who can provide a letter of recommendation on your behalf."
 Labor & Employment Studies, The scholarship provides recognition to promising SF State University students majoring in Labor & Employment Studies.," A scholarship criteria will be that students have a commitment to social justice, community engagement, and public service. Other requirements as determined by the scholarship committee.", Single:  Labor & Employment Studies," Undergrad:  Sophomore, Junior, Senior; Grad:  N/A", Continuing, Undergrad:  12-units; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  2.5; Grad GPA:  N/A, Jeff Chun, CA 141," 1600 Holloway, San Francisco, California 94132", (415) 338-7613, jeffchun@sfsu.edu, http: //music.sfsu.edu/scholarships, Varies,$500,Graduate College of Education,04/07/2024,"This scholarship is available to incoming and continuing undergraduate students who have at least one semester left before graduating from SF State. Do you have at least one semester before obtaining your graduate degree, and will you enroll in classes in the upcoming fall semester? Personal Statement: Awardees of this scholarship should demonstrate a personal drive to overcome obstacles as well as a community-oriented focus and a commitment to others. Within this context, please provide a personal statement describing your academic and career goals. Your statement should answer the following questions: What are your reasons for applying for this scholarship? How do you intend to use your degree upon graduation? To what extent does your field of study benefit you and/or the larger community? See https://financialaid.sfsu.edu/scholarship-and-essay-tips. (200-word minimum and 500-word maximum) Financial Need Statement: Please provide a brief statement of financial need detailing how receiving this scholarship will assist you and enable you to achieve your academic and career goals, e.g., content such as parent’s education and occupations, disability or illness in the family, extenuating circumstances, single parent household, other siblings in college, cost of college tuition compared to how you will finance your education that describes your financial status. If you are currently working to support your education or are a participant in EOP, Guardian Scholars or related campus programs, please include this in your response. (100-word minimum and 200-word maximum) Please provide the name and e-mail of an individual who can provide a reference on your behalf. Your reference provider should be familiar with you and able to speak to your personal, professional and/or academic achievements. Faculty, colleagues, or mentors are highly recommended. Please be sure to communicate to the individual that you are listing them as a reference provider and give them context on the scholarship for which you are applying so they can tailor their reference. See https://financialaid.sfsu.edu/letters-recommendation for tips and guidelines on asking for letters of recommendation. If your reference provider cannot upload their reference letter to your application on the Award Management/Academic Works system directly before the online deadline, your scholarship application that’s missing a reference letter can’t be evaluated."
 Africana Studies, The scholarship is intended to provide financial assistance to students majoring or minoring in Africana Studies.,"
1) Must have been enrolled in SF State at least half-time for Fall and current Spring semesters
2) Requires filing FAFSA or California Dream Act application for the upcoming academic year.
3) Must have financial need as determined by FAFSA or California Dream Act application.
4) Students who meet the AB540 definition are eligible to apply.", Africana Studies," High School Senior, Undergrad:  Freshman, Sophomore, Junior, Senior", Continuing and entering students can apply," Undergrad:  12, Grad:  9", No, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.5, Abul Pitre, BH 102," 1600 Holloway, San Francisco, California 94132", (415) 338-1058, apitre@sfsu.edu, http: //gcoe.sfsu.edu/current-students/scholarships, varies,"$1,000.00",Africana Studies,03/31/2024,Can you provide your Nomination Request which made it possible to receive this award?
